City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Nyurba,RU,2021-12-02 00:43:11,63.2842,118.3319,-20.31,96,100,2.17
1,Tateyama,JP,2021-12-02 00:43:11,34.9833,139.8667,57.09,47,1,11.79
2,Scottsboro,US,2021-12-02 00:43:13,34.6723,-86.0341,58.26,66,90,3.44
3,Rock Sound,BS,2021-12-02 00:43:13,24.9,-76.2,77.76,67,6,12.33
4,Rabaul,PG,2021-12-02 00:43:13,-4.1967,152.1721,83.73,73,99,6.4
5,Otradnoye,RU,2021-12-02 00:43:14,59.7775,30.8181,21.25,99,91,3.2
6,Ancud,CL,2021-12-02 00:43:15,-41.8697,-73.8203,51.33,74,100,5.88
7,Piacabucu,BR,2021-12-02 00:43:15,-10.4056,-36.4344,78.51,81,86,13.13
8,Gamba,GA,2021-12-02 00:43:15,-2.65,10.0,76.46,92,100,4.52
9,Hermanus,ZA,2021-12-02 00:43:16,-34.4187,19.2345,59.9,75,100,10.98
10,Cherskiy,RU,2021-12-02 00:43:16,68.75,161.3,-31.32,100,71,5.17
11,Barrow,US,2021-12-02 00:43:16,71.2906,-156.7887,-12.98,70,90,11.5
12,Suluq,LY,2021-12-02 00:43:17,31.6682,20.2521,58.32,71,0,6.08
13,Sao Joao Da Barra,BR,2021-12-02 00:43:17,-21.6403,-41.0511,72.43,95,2,8.01
14,Ushuaia,AR,2021-12-02 00:42:53,-54.8,-68.3,47.86,61,40,24.16
15,Nelson Bay,AU,2021-12-02 00:43:18,-32.7167,152.15,77.95,74,1,8.14
16,Amalapuram,IN,2021-12-02 00:43:18,16.5833,82.0167,77.38,83,46,4.85
17,Vung Tau,VN,2021-12-02 00:41:15,10.346,107.0843,76.21,82,19,5.01
18,Jamestown,US,2021-12-02 00:39:07,42.097,-79.2353,38.71,78,90,3.0
19,Chuy,UY,2021-12-02 00:43:19,-33.6971,-53.4616,58.78,76,9,7.09
20,Olinda,BR,2021-12-02 00:43:19,-8.0089,-34.8553,82.13,74,40,6.91
21,Atambua,ID,2021-12-02 00:43:19,-9.1061,124.8925,84.04,59,100,1.5
22,Port Alfred,ZA,2021-12-02 00:43:20,-33.5906,26.891,67.33,92,93,0.96
23,Selikhino,RU,2021-12-02 00:43:21,50.3672,137.4996,15.64,78,100,9.8
24,Rikitea,PF,2021-12-02 00:43:21,-23.1203,-134.9692,76.51,73,0,17.22
25,Atuona,PF,2021-12-02 00:43:22,-9.8,-139.0333,78.6,78,58,20.56
26,Busselton,AU,2021-12-02 00:42:54,-33.65,115.3333,67.05,49,31,10.8
27,Airai,TL,2021-12-02 00:43:23,-8.9266,125.4092,74.21,54,100,2.26
28,Kamaishi,JP,2021-12-02 00:43:23,39.2667,141.8833,32.95,71,46,22.19
29,Mataura,NZ,2021-12-02 00:43:23,-46.1927,168.8643,69.48,36,100,1.79
30,Rio Cuarto,AR,2021-12-02 00:43:24,-33.1307,-64.3499,71.37,64,20,10.36
31,Kruisfontein,ZA,2021-12-02 00:43:24,-34.0033,24.7314,63.88,90,100,12.86
32,East London,ZA,2021-12-02 00:43:24,-33.0153,27.9116,69.22,92,100,3.49
33,Prince Rupert,CA,2021-12-02 00:43:25,54.3161,-130.3201,42.49,54,20,21.85
34,Nome,US,2021-12-02 00:41:17,64.5011,-165.4064,-14.73,65,1,3.44
35,New Norfolk,AU,2021-12-02 00:43:25,-42.7826,147.0587,87.66,24,84,6.62
36,Ribeira Grande,PT,2021-12-02 00:43:26,38.5167,-28.7,64.26,81,9,7.07
37,Roald,NO,2021-12-02 00:43:26,62.5833,6.1333,33.01,93,90,5.75
38,Rudnichnyy,RU,2021-12-02 00:43:27,59.617,52.4703,16.59,97,45,5.12
39,Srednekolymsk,RU,2021-12-02 00:43:27,67.45,153.6833,-37.79,100,41,1.79
40,Hamilton,US,2021-12-02 00:42:18,39.1834,-84.5333,53.11,87,90,1.99
41,Tasiilaq,GL,2021-12-02 00:43:28,65.6145,-37.6368,25.9,93,100,30.85
42,Hay River,CA,2021-12-02 00:43:28,60.8156,-115.7999,6.78,85,90,3.44
43,Lagoa,PT,2021-12-02 00:43:28,39.05,-27.9833,62.51,85,1,9.91
44,Bluff,NZ,2021-12-02 00:43:28,-46.6,168.3333,69.8,71,100,10.16
45,Kaitangata,NZ,2021-12-02 00:44:29,-46.2817,169.8464,65.93,76,100,9.35
46,Urucara,BR,2021-12-02 00:44:29,-2.5364,-57.76,79.11,80,100,2.66
47,Nikolskoye,RU,2021-12-02 00:44:29,59.7035,30.7861,21.09,98,95,3.29
48,Victoria,HK,2021-12-02 00:44:30,22.2855,114.1577,62.26,44,12,1.01
49,Robinson,US,2021-12-02 00:44:30,31.4677,-97.1147,69.35,79,1,4.61
50,Oros,BR,2021-12-02 00:44:30,-6.2444,-38.9136,81.19,64,40,12.8
51,Tuktoyaktuk,CA,2021-12-02 00:44:31,69.4541,-133.0374,-20.2,76,90,4.61
52,Goderich,CA,2021-12-02 00:44:31,43.7501,-81.7165,38.91,75,100,12.66
53,Vaini,TO,2021-12-02 00:44:31,-21.2,-175.2,86.16,79,20,11.5
54,Tual,ID,2021-12-02 00:44:32,-5.6667,132.75,77.85,84,100,6.58
55,Chunhuhub,MX,2021-12-02 00:44:32,19.55,-88.6833,71.49,91,22,2.39
56,Wadena,US,2021-12-02 00:44:32,46.4425,-95.1361,46.65,81,75,4.61
57,Sitka,US,2021-12-02 00:44:32,57.0531,-135.33,39.09,65,75,28.77
58,San Andres,CO,2021-12-02 00:39:35,12.5847,-81.7006,82.42,78,90,11.5
59,Pangai,TO,2021-12-02 00:44:33,-19.8,-174.35,73.51,88,90,2.3
60,Havelock,US,2021-12-02 00:44:33,34.8791,-76.9013,56.95,87,100,6.98
61,Puerto Carreno,CO,2021-12-02 00:44:34,6.189,-67.4859,81.5,71,99,13.2
62,Te Anau,NZ,2021-12-02 00:44:35,-45.4167,167.7167,71.49,49,100,1.36
63,Am Timan,TD,2021-12-02 00:44:35,11.0297,20.2827,75.38,25,10,7.09
64,Saint-Philippe,RE,2021-12-02 00:44:35,-21.3585,55.7679,72.99,84,53,10.6
65,Thanh Hoa,VN,2021-12-02 00:40:11,19.8,105.7667,62.17,59,13,4.63
66,Touros,BR,2021-12-02 00:44:36,-5.1989,-35.4608,81.5,74,37,10.96
67,Korla,CN,2021-12-02 00:44:36,41.7597,86.1469,21.63,73,1,2.42
68,Tabas,IR,2021-12-02 00:44:36,33.5959,56.9244,59.0,36,100,4.29
69,Lompoc,US,2021-12-02 00:44:37,34.6391,-120.4579,70.21,73,1,5.75
70,Cape Town,ZA,2021-12-02 00:44:38,-33.9258,18.4232,61.21,63,20,9.22
71,Punta Arenas,CL,2021-12-02 00:44:06,-53.15,-70.9167,51.91,50,0,13.8
72,Hithadhoo,MV,2021-12-02 00:44:38,-0.6,73.0833,81.57,76,91,6.62
73,Dzaoudzi,YT,2021-12-02 00:44:38,-12.7887,45.2699,78.69,78,75,3.44
74,Hami,CN,2021-12-02 00:44:40,42.8,93.45,24.55,63,0,4.43
75,Bandarbeyla,SO,2021-12-02 00:44:40,9.4942,50.8122,74.75,64,0,13.73
76,Changying,CN,2021-12-02 00:44:40,52.8733,123.3213,3.74,90,100,4.45
77,Khatanga,RU,2021-12-02 00:44:41,71.9667,102.5,-38.29,100,92,1.28
